request_id,start_time,end_time,queue_time,execution_time,latency
0,1719609570.8442075,1719609571.51983,0.010898828506469727,0.6647236347198486,0.6756224632263184
1,1719609571.4753845,1719609572.1842752,0.044982194900512695,0.6639084815979004,0.7088906764984131
2,1719609572.1081173,1719609572.8513672,0.0767068862915039,0.6665430068969727,0.7432498931884766
3,1719609572.739299,1719609573.5192106,0.11263084411621094,0.6672806739807129,0.7799115180969238
4,1719609573.3722823,1719609574.182692,0.14754509925842285,0.6628646850585938,0.8104097843170166
5,1719609574.0037577,1719609574.84907,0.17969202995300293,0.6656203269958496,0.8453123569488525
6,1719609574.634698,1719609575.5170388,0.21503138542175293,0.6673095226287842,0.8823409080505371
7,1719609575.265832,1719609576.178732,0.25179433822631836,0.6611056327819824,0.9128999710083008
8,1719609575.8981621,1719609576.8456666,0.2811563014984131,0.6663482189178467,0.9475045204162598
9,1719609576.5301988,1719609577.509513,0.31611132621765137,0.6632027626037598,0.9793140888214111
10,1719609577.1610963,1719609578.1737323,0.3489871025085449,0.6636488437652588,1.0126359462738037
11,1719609577.7928672,1719609578.8390927,0.3814697265625,0.6647558212280273,1.0462255477905273
12,1719609578.424607,1719609579.5017009,0.415083646774292,0.6620101928710938,1.0770938396453857
13,1719609579.055616,1719609580.1706412,0.44683241844177246,0.6681928634643555,1.115025281906128
14,1719609579.6876564,1719609580.8373475,0.48354125022888184,0.6661498546600342,1.149691104888916
15,1719609580.318691,1719609581.503428,0.519237756729126,0.665499210357666,1.184736967086792
