request_id,start_time,end_time,queue_time,execution_time,latency
0,1719609758.707929,1719609759.3786068,0.00995016098022461,0.6607277393341064,0.670677900314331
1,1719609759.3396528,1719609760.0449877,0.03952598571777344,0.665808916091919,0.7053349018096924
2,1719609759.9711108,1719609760.7083786,0.07446980476379395,0.6627979278564453,0.7372677326202393
3,1719609760.6025481,1719609761.4033506,0.10642194747924805,0.694380521774292,0.80080246925354
4,1719609761.233823,1719609761.9223056,0.010067224502563477,0.6784152984619141,0.6884825229644775
5,1719609761.8646297,1719609762.5976465,0.05825400352478027,0.6747627258300781,0.7330167293548584
6,1719609762.495713,1719609763.1919482,0.009622335433959961,0.6866128444671631,0.696235179901123
7,1719609763.127001,1719609763.8586974,0.06552791595458984,0.6661684513092041,0.731696367263794
8,1719609763.7588615,1719609764.539608,0.10041546821594238,0.6803309917449951,0.7807464599609375
9,1719609764.390901,1719609765.078927,0.00907278060913086,0.6789531707763672,0.688025951385498
10,1719609765.022064,1719609765.7668276,0.057417869567871094,0.6873457431793213,0.7447636127471924
11,1719609765.6534648,1719609766.3586226,0.009435176849365234,0.6957225799560547,0.7051577568054199
12,1719609766.2846897,1719609767.028343,0.07448577880859375,0.6691675186157227,0.7436532974243164
13,1719609766.9160233,1719609767.715967,0.11290240287780762,0.6870412826538086,0.7999436855316162
14,1719609767.5467477,1719609768.2329204,0.010331392288208008,0.6758413314819336,0.6861727237701416
15,1719609768.1779048,1719609768.8999987,0.05559253692626953,0.6665012836456299,0.7220938205718994
