request_id,start_time,end_time,queue_time,execution_time,latency
0,1719609645.0299697,1719609646.4675243,0.6412336826324463,0.796320915222168,1.4375545978546143
1,1719609645.661079,1719609646.4675245,0.010124444961547852,0.7963211536407471,0.8064455986022949
2,1719609646.2928069,1719609647.729752,0.6403095722198486,0.796635627746582,1.4369451999664307
3,1719609646.9240346,1719609647.7297525,0.009081840515136719,0.7966361045837402,0.805717945098877
4,1719609647.554997,1719609648.9923112,0.6414103507995605,0.7959039211273193,1.4373142719268799
5,1719609648.1871214,1719609648.9923117,0.009285926818847656,0.7959043979644775,0.8051903247833252
6,1719609648.8194857,1719609650.2555506,0.6403727531433105,0.7956922054290771,1.4360649585723877
7,1719609649.4504232,1719609650.2555509,0.009435176849365234,0.7956924438476562,0.8051276206970215
8,1719609650.0813468,1719609651.5182118,0.6418242454528809,0.7950408458709717,1.4368650913238525
9,1719609650.7132936,1719609651.5182123,0.009877443313598633,0.7950413227081299,0.8049187660217285
10,1719609651.3447256,1719609652.7820432,0.6407744884490967,0.7965431213378906,1.4373176097869873
11,1719609651.976519,1719609652.7820437,0.008980989456176758,0.7965435981750488,0.8055245876312256
12,1719609652.6078615,1719609654.0443687,0.640939474105835,0.7955677509307861,1.436507225036621
13,1719609653.2391887,1719609654.0443692,0.009612321853637695,0.7955682277679443,0.805180549621582
14,1719609653.8705165,1719609655.3083165,0.6406164169311523,0.7971835136413574,1.4377999305725098
15,1719609654.502072,1719609655.308317,0.009060859680175781,0.7971839904785156,0.8062448501586914
