compute_type,num_workers,batch_size,experiment_type,arrival_rate,num_requests,total_time,successful_requests,average_time_per_request,throughput,average_latency,min_latency,max_latency,latency_90,latency_95,latency_99,model_id,avg_queue_time,avg_execution_time
mps,2,1,poisson,0.89,64,59.769031047821045,64,0.9338911101222038,1.0707886488705791,3.6293685510754585,1.5619661808013916,7.617407560348511,6.280581951141357,6.340570688247681,7.617407560348511,stabilityai/stable-diffusion-xl-base-1.0,2.058423671871424,1.5709448792040348
mps,4,1,poisson,0.61,64,42.272485971450806,64,0.6605075933039188,1.51398713676842,2.3916051015257835,1.556730031967163,5.7639360427856445,3.553985834121704,3.739891767501831,5.7639360427856445,stabilityai/stable-diffusion-xl-base-1.0,0.7834960967302322,1.6081090047955513
mps,2,2,poisson,0.61,64,45.28158640861511,64,0.7075247876346111,1.4133780433943364,3.3404166661202908,1.6118595600128174,7.434889078140259,4.956537961959839,5.876015186309815,7.434889078140259,stabilityai/stable-diffusion-xl-base-1.0,1.5609870441257954,1.7794296219944954
mps,4,2,poisson,0.5,64,35.41974186897278,44,0.804994133385745,1.242245077978488,3.018579450520602,1.6584076881408691,6.280856609344482,4.225449800491333,4.836808919906616,6.280856609344482,stabilityai/stable-diffusion-xl-base-1.0,1.0317778912457554,1.986801559274847
mps,2,4,poisson,0.5,64,37.01586961746216,64,0.5783729627728462,1.7289881518765706,4.196774560958147,2.03519058227539,7.60882043838501,6.067728281021118,6.568873643875122,7.60882043838501,stabilityai/stable-diffusion-xl-base-1.0,1.7893467657268047,2.4074277952313423
mps,2,1,poisson,0.41,64,28.331473112106323,64,0.4426792673766613,2.2589718419072304,1.9215173311531544,0.6617164611816406,3.6185519695281982,3.148148775100708,3.298057794570923,3.6185519695281982,stabilityai/sd-turbo,1.1630904488265514,0.7584268823266029
mps,4,1,poisson,0.35,64,24.59541630744934,64,0.3843033798038959,2.602110864885665,2.0220918841660023,0.6789181232452393,3.850300312042236,3.0109548568725586,3.2323482036590576,3.850300312042236,stabilityai/sd-turbo,0.8227001763880253,1.199391707777977
mps,8,1,poisson,0.32,64,23.88498997688293,64,0.3732029683887958,2.679507090517616,2.7694247625768185,0.7635440826416016,6.314376354217529,4.122477054595947,5.81623125076294,6.314376354217529,stabilityai/sd-turbo,0.8621198982000351,1.907304864376784
mps,2,2,poisson,0.35,64,26.49134874343872,64,0.41392732411623,2.4158830348662894,1.9010204076766968,0.8041946887969971,4.955900430679321,2.840792894363404,3.1569929122924805,4.955900430679321,stabilityai/sd-turbo,0.8612493723630905,1.0397710353136065
mps,4,2,poisson,0.32,64,24.16350889205933,64,0.3775548264384269,2.648621948322739,2.4709717892110348,0.8062098026275635,4.987623929977417,3.770859956741333,4.01043438911438,4.987623929977417,stabilityai/sd-turbo,0.9229844883084296,1.547987300902605
mps,2,4,poisson,0.32,64,24.669146299362183,64,0.3854554109275341,2.594333797503756,2.266640741378069,1.3500072956085205,5.076963424682617,2.780823945999145,4.255914926528931,5.076963424682617,stabilityai/sd-turbo,0.8454359993338585,1.4212047420442104
process,1,1,poisson,0.64,64,43.1066529750824,64,0.6735414527356625,1.4846896147792987,1.8440895304083824,0.6787607669830322,2.5787153244018555,2.4945693016052246,2.538405656814575,2.5787153244018555,stabilityai/sd-turbo,1.1731416545808315,0.6709478758275509
process,1,2,poisson,0.41,64,26.989101886749268,64,0.4217047169804573,2.3713275183648044,1.1152567751705649,0.8037674427032471,1.428359031677246,1.3802814483642578,1.4025084972381592,1.428359031677246,stabilityai/sd-turbo,0.316635400056839,0.7986213751137257
process,1,4,poisson,0.35,64,24.049050092697144,64,0.3757664076983928,2.661227772128703,1.9817255735397337,1.3514893054962158,2.6011948585510254,2.5328633785247803,2.568052053451538,2.6011948585510254,stabilityai/sd-turbo,0.6303038783371449,1.351421695202589
process,1,8,poisson,0.32,64,25.44368934631348,64,0.397557646036148,2.5153584894429994,3.756207339465618,2.329862117767334,5.102215528488159,4.822786092758179,4.965211391448975,5.102215528488159,stabilityai/sd-turbo,1.3322762995958328,2.4239310398697853
default,1,1,poisson,1.4,64,97.88378548622131,64,1.529434148222208,0.6538365847018556,5.631827354431152,1.5363202095031738,9.549872398376465,8.742456674575806,9.08976149559021,9.549872398376465,stabilityai/stable-diffusion-xl-base-1.0,4.103398118168116,1.5284292362630367
default,1,2,poisson,0.89,64,57.779125928878784,64,0.902798842638731,1.107666462084916,2.055803805589676,1.588879108428955,2.537489414215088,2.512180089950561,2.5225512981414795,2.537489414215088,stabilityai/stable-diffusion-xl-base-1.0,0.4545938521623611,1.6012099534273148
default,1,4,poisson,0.61,64,40.60781621932984,64,0.6344971284270287,1.576051262011356,2.9645995758473878,2.036854982376098,3.9158921241760254,3.881335258483887,3.884271144866944,3.9158921241760254,stabilityai/stable-diffusion-xl-base-1.0,0.926533494144678,2.038066081702709
default,1,8,poisson,0.5,64,37.661256551742554,64,0.5884571336209774,1.6993591255265426,5.3827641643583775,2.4876205921173096,7.250289678573608,7.235597610473633,7.244494915008545,7.250289678573608,stabilityai/stable-diffusion-xl-base-1.0,1.8445943892002106,3.538169775158167
