compute_type,num_workers,batch_size,experiment_type,arrival_rate,num_requests,total_time,successful_requests,average_time_per_request,throughput,average_latency,min_latency,max_latency,latency_90,latency_95,latency_99,model_id
default,1,2,poisson,0.8332993876633811,120,147.53212881088257,120,1.2294344067573548,0.813382149144101,7.148094354073207,2.194584608078003,14.416668891906738,12.333716869354248,13.335616827011108,14.201581239700316,stabilityai/stable-diffusion-2
default,1,4,poisson,0.988876554150948,120,129.328773021698,120,1.0777397751808169,0.9278677682952048,7.907700188954672,2.7704296112060547,14.7906391620636,11.141152143478394,12.246081352233888,13.702457904815674,stabilityai/stable-diffusion-2
default,1,8,poisson,1.0900551652076873,120,124.53169822692873,120,1.0377641518910723,0.9636100824814032,12.475711359580355,3.848705768585205,24.165441036224365,20.23630142211914,21.222989082336422,22.04830503463745,stabilityai/stable-diffusion-2
default,1,16,poisson,1.140910706900769,120,127.83050537109376,120,1.0652542114257812,0.9387430617726052,14.658523937066397,4.850315570831299,25.46057868003845,21.38193774223328,23.79234027862549,25.44895315170288,stabilityai/stable-diffusion-2
default,1,2,poisson,0.8538344506462024,120,143.24526262283325,120,1.1937105218569437,0.83772403919536,7.373647332191467,2.195717096328736,14.644673824310305,12.440566062927246,13.083762645721436,14.430814743041992,stabilityai/sd-turbo
default,1,4,poisson,0.9287419387797752,120,134.2237367630005,120,1.1185311396916708,0.8940296470205161,8.145944611231487,2.51412034034729,19.289008378982544,13.939616203308104,16.197779655456543,17.517130136489868,stabilityai/sd-turbo
default,1,8,poisson,0.9197734194737172,120,142.18410444259644,120,1.184867537021637,0.8439761988193781,9.270399065812429,2.685051441192627,16.146090030670166,12.690497636795044,13.957452774047852,15.836749792099,stabilityai/sd-turbo
default,1,16,poisson,0.8398837798436559,120,146.3854739665985,120,1.2198789497216542,0.8197534683487857,9.76459774374962,4.156590223312378,19.05979347229004,14.096919059753418,16.24475932121277,18.27945733070373,stabilityai/sd-turbo
default,1,2,poisson,0.448979186959124,120,304.3962302207947,120,2.5366352518399555,0.3942230162080445,20.62078130642573,4.760321378707886,39.90647578239441,34.38271999359131,35.92923974990845,39.21965742111206,stabilityai/stable-diffusion-xl-base-1.0
default,1,4,poisson,0.6699276625067708,120,208.05721592903137,120,1.7338101327419282,0.5767644225371745,11.397148050864535,5.63567328453064,20.32612419128418,16.701103448867798,17.723156213760376,20.129679918289185,stabilityai/stable-diffusion-xl-base-1.0
default,1,8,poisson,0.6915660898844868,120,213.5183463096619,120,1.7793195525805154,0.5620125955170434,14.993046474456786,6.232667446136475,27.81006908416748,20.075857639312744,22.241325616836548,27.53975248336792,stabilityai/stable-diffusion-xl-base-1.0
default,1,16,poisson,0.729334805402442,120,189.44567728042605,120,1.5787139773368837,0.6334269629302262,24.78864593903224,5.927333354949951,44.6638605594635,37.21702694892883,42.33327579498291,44.464771032333374,stabilityai/stable-diffusion-xl-base-1.0
mps,2,1,poisson,0.8332993876633811,120,147.5521845817566,120,1.229601538181305,0.8132715916077115,7.975291266043981,1.909454107284546,19.35862922668457,14.641746759414673,16.57313370704651,19.15963053703308,stabilityai/stable-diffusion-2
mps,2,2,poisson,0.988876554150948,120,129.89098525047302,120,1.082424877087275,0.9238516419642216,7.564185357093811,2.1927876472473145,15.628330707550049,11.998806715011597,12.87016463279724,15.11484670639038,stabilityai/stable-diffusion-2
mps,2,4,poisson,1.0900551652076873,120,121.34319353103638,120,1.0111932794253031,0.988930623202258,10.50399035612742,2.738086223602295,22.634931087493896,17.972200632095337,19.21071743965149,20.84103560447693,stabilityai/stable-diffusion-2
mps,2,8,poisson,1.140910706900769,120,125.8375210762024,120,1.0486460089683534,0.953610647871334,11.782933640480042,3.914342164993286,22.39152359962464,17.523781538009644,19.680200576782227,21.94636869430542,stabilityai/stable-diffusion-2
mps,2,1,poisson,0.8538344506462024,120,144.1242663860321,120,1.201035553216934,0.832614819204588,8.948814447720846,2.147123098373413,17.613352060317993,15.262557744979858,16.057676553726196,17.11040496826172,stabilityai/sd-turbo
mps,2,2,poisson,0.9287419387797752,120,133.18920588493347,120,1.1099100490411122,0.9009739130337028,7.031258728106817,2.185542106628418,18.74913239479065,12.89683747291565,15.73907995223999,17.02994179725647,stabilityai/sd-turbo
mps,2,4,poisson,0.9197734194737172,120,140.67684817314148,120,1.1723070681095122,0.8530188268954324,6.299262050787608,2.6857457160949707,11.671671628952026,9.248083591461182,10.357636213302612,11.666019201278688,stabilityai/sd-turbo
mps,2,8,poisson,0.8398837798436559,120,142.959317445755,120,1.1913276453812918,0.8393996428077046,7.255443080266317,3.845205545425415,12.637735366821287,10.274675846099854,11.218308448791504,12.037891626358032,stabilityai/sd-turbo
mps,2,1,poisson,0.448979186959124,120,300.70707607269287,120,2.505892300605774,0.3990594487074565,17.3867428958416,4.567414045333862,35.77140140533447,29.948676586151123,32.157580852508545,35.42878222465515,stabilityai/stable-diffusion-xl-base-1.0
mps,2,2,poisson,0.6699276625067708,120,213.4554190635681,120,1.7787951588630675,0.5621782783798213,11.055749380588532,4.878324270248413,22.471789360046387,16.40650701522827,18.694947242736816,21.153435468673703,stabilityai/stable-diffusion-xl-base-1.0
mps,2,4,poisson,0.6915660898844868,120,212.6467218399048,120,1.77205601533254,0.5643162469739098,12.093280325333277,6.5419111251831055,23.599952220916748,17.88301420211792,19.596583127975464,23.03216981887817,stabilityai/stable-diffusion-xl-base-1.0
