compute_type,num_workers,batch_size,experiment_type,arrival_rate,num_requests,total_time,successful_requests,average_time_per_request,throughput,average_latency,min_latency,max_latency,latency_90,latency_95,latency_99,model_id
default,1,2,poisson,1.0,120,139.84343433380127,120,1.1653619527816772,0.8581024956349705,12.52682916522026,2.189664602279663,25.837029218673703,23.72350096702576,24.375003814697266,25.70648431777954,stabilityai/stable-diffusion-2
default,1,4,poisson,1.0,120,126.8314778804779,120,1.0569289823373158,0.94613736278532,8.794765317440033,2.7672574520111084,16.59721851348877,14.008541345596312,14.55792784690857,15.632083892822266,stabilityai/stable-diffusion-2
default,1,8,poisson,1.0,120,124.7161900997162,120,1.0393015841643016,0.962184620168838,11.502409921089807,4.218446731567383,18.68098211288452,16.398229122161865,17.540776014328003,18.67532992362976,stabilityai/stable-diffusion-2
default,1,16,poisson,1.0,120,129.05921602249146,120,1.0754934668540954,0.9298057411032724,15.477433196703592,4.244273662567139,28.190078496932983,23.908164262771606,24.60886693000793,26.17659568786621,stabilityai/stable-diffusion-2
default,1,2,poisson,0.9,120,146.1986963748932,120,1.2183224697907766,0.8208007525066255,8.326922810077667,2.193983554840088,16.85706901550293,13.65380859375,15.067964792251589,16.654801607131958,stabilityai/sd-turbo
default,1,4,poisson,0.9,120,138.8322548866272,120,1.15693545738856,0.8643524525190062,6.342556941509247,3.232466220855713,11.993168592453005,9.200249910354614,9.572596788406372,11.124127388000488,stabilityai/sd-turbo
default,1,8,poisson,0.9,120,140.9428195953369,120,1.1745234966278075,0.8514091057957677,9.923207916816075,3.240816354751587,17.722736597061157,13.561628341674805,14.521295309066772,17.643510103225708,stabilityai/sd-turbo
default,1,16,poisson,0.9,120,141.71977615356445,120,1.1809981346130372,0.8467413882306067,12.17483063141505,3.300154209136963,23.00266742706299,17.570398569107056,20.112179040908813,21.54929089546204,stabilityai/sd-turbo
default,1,2,poisson,0.6,120,296.12547397613525,120,2.4677122831344604,0.4052336274510135,48.42583025097847,7.380005836486816,109.47995734214784,94.66602277755736,99.40321159362792,103.965749502182,stabilityai/stable-diffusion-xl-base-1.0
default,1,4,poisson,0.6,120,218.50817251205444,120,1.8209014376004533,0.5491785438523127,15.210297377904256,5.444031238555908,32.719035148620605,27.23171091079712,28.670863389968872,31.88460373878479,stabilityai/stable-diffusion-xl-base-1.0
default,1,8,poisson,0.6,120,209.46771359443665,120,1.7455642799536386,0.5728806503914937,16.025400829315185,5.07603120803833,28.758362770080566,24.66274690628052,26.48345899581909,28.45193743705749,stabilityai/stable-diffusion-xl-base-1.0
default,1,16,poisson,0.6,120,213.23179936409,120,1.7769316613674164,0.5627678439982672,19.647382777929305,5.316532850265503,41.48485732078552,33.16618466377258,35.23220944404602,38.96929717063904,stabilityai/stable-diffusion-xl-base-1.0
mps,2,1,poisson,1.0,120,142.13830161094666,120,1.1844858467578887,0.8442481628101732,13.8536230246226,1.8941786289215088,30.4711971282959,26.61753296852112,28.09762024879456,29.866071939468384,stabilityai/stable-diffusion-2
mps,2,2,poisson,1.0,120,127.67948293685912,120,1.0639956911404929,0.9398534301657782,8.565824800729752,2.184659481048584,20.919013500213623,15.238655090332031,17.268364667892456,18.240718126297,stabilityai/stable-diffusion-2
mps,2,4,poisson,1.0,120,121.01981353759766,120,1.008498446146647,0.9915731688242866,9.540432089567185,3.777420520782471,19.28184223175049,15.069168090820312,17.22415804862976,18.683911323547363,stabilityai/stable-diffusion-2
mps,2,8,poisson,1.0,120,124.65596795082092,120,1.0387997329235077,0.9626494581257612,10.541325972477596,2.9873178005218506,19.74757981300354,16.010810375213623,18.600871324539185,19.73790669441223,stabilityai/stable-diffusion-2
mps,2,1,poisson,0.9,120,146.4445283412933,120,1.220371069510778,0.8194228992997022,8.696738334496816,2.029380321502685,18.71070122718811,15.550980567932127,17.42253303527832,18.47805595397949,stabilityai/sd-turbo
mps,2,2,poisson,0.9,120,138.44945216178894,120,1.1537454346815743,0.8667423245544568,5.811688856283824,2.184309959411621,14.561059474945068,9.20463800430298,10.062465190887451,12.569293022155762,stabilityai/sd-turbo
mps,2,4,poisson,0.9,120,138.48530173301697,120,1.1540441811084747,0.8665179517126343,7.413206565380096,2.965617418289185,16.780232906341553,10.690202951431274,11.560741901397703,16.751215934753418,stabilityai/sd-turbo
mps,2,8,poisson,0.9,120,138.42142796516418,120,1.1535118997097016,0.8669178014129416,9.54037765065829,3.53479552268982,18.80589723587036,15.291779041290283,16.734304428100586,18.132534742355347,stabilityai/sd-turbo
mps,2,1,poisson,0.6,120,279.1758830547333,120,2.326465692122777,0.4298365556758126,39.27334209283193,5.498615026473999,92.54974842071532,80.0662488937378,86.25647187232971,90.65916633605956,stabilityai/stable-diffusion-xl-base-1.0
mps,2,2,poisson,0.6,120,213.3837628364563,120,1.7781980236371355,0.5623670630083114,13.642793707052869,4.760194778442383,30.768489837646484,25.54613327980041,27.16778254508972,30.63648462295532,stabilityai/stable-diffusion-xl-base-1.0
mps,2,4,poisson,0.6,120,208.468994140625,120,1.7372416178385417,0.5756251690793535,14.153375484546023,5.917882919311523,28.978894233703613,24.67487382888794,25.788113832473755,28.813313007354736,stabilityai/stable-diffusion-xl-base-1.0
mps,2,8,poisson,0.6,120,207.65084791183472,106,1.9589702633191954,0.510472271440018,14.410753126414317,5.80979323387146,30.521610498428345,24.136908292770386,27.789250373840332,30.422838926315308,stabilityai/stable-diffusion-xl-base-1.0
