compute_type,num_workers,batch_size,experiment_type,arrival_rate,num_requests,total_time,successful_requests,average_time_per_request,throughput,average_latency,min_latency,max_latency,latency_90,latency_95,latency_99,model_id
default,1,8,poisson,1,120,132.16459226608276,120,1.1013716022173563,0.9079587652221393,11.807573584715524,3.083914995193481,23.007928133010864,18.72456884384156,19.86458706855774,20.37786769866944,stabilityai/stable-diffusion-2
default,1,16,poisson,1,120,127.661630153656,120,1.0638469179471337,0.9399848635456534,16.898409283161165,6.268015146255493,29.65443730354309,25.41901159286499,27.98841452598572,28.679183959960938,stabilityai/stable-diffusion-2
mps,2,1,poisson,1,120,145.9033164978027,120,1.2158609708150228,0.8224624558264045,16.504018169641494,2.078087568283081,35.68055582046509,31.5831356048584,33.08404564857483,35.185096979141235,stabilityai/stable-diffusion-2
mps,2,2,poisson,1,120,132.43132257461548,120,1.1035943547884624,0.9061300428559012,8.97048205534617,2.350705862045288,17.964464902877808,14.28604507446289,16.020459175109863,17.504803895950317,stabilityai/stable-diffusion-2
mps,2,4,poisson,1,120,130.78740000724792,120,1.0898950000603993,0.9175195775231396,10.128647504250209,2.6251864433288574,20.046475410461422,17.837444067001343,18.504483461380005,18.94002723693848,stabilityai/stable-diffusion-2
mps,2,8,poisson,1,120,143.07975697517395,120,1.1923313081264495,0.8386930655803493,9.648298561573029,3.981292724609375,16.96629285812378,14.924821615219116,15.468086004257202,16.62422204017639,stabilityai/stable-diffusion-2
default,2,1,poisson,1,120,204.79771661758423,120,1.7066476384798686,0.5859440328823307,45.0521068751812,3.564065456390381,91.162358045578,85.55692744255066,87.78070831298828,89.6279046535492,stabilityai/stable-diffusion-2
default,2,2,poisson,1,120,162.4894425868988,120,1.354078688224157,0.7385095184619419,22.84394860466321,3.8170337677001953,45.97501015663147,39.95495557785034,42.16157674789429,42.83811473846436,stabilityai/stable-diffusion-2
default,2,4,poisson,1,120,145.23900604248047,120,1.210325050354004,0.8262243268512978,15.501922919352848,2.76192569732666,35.34987926483154,29.51150298118592,32.56496834754944,34.48691487312317,stabilityai/stable-diffusion-2
default,2,8,poisson,1,120,145.48860788345337,120,1.2124050656954448,0.8248068473933606,14.234734616676969,5.2989935874938965,25.270450115203857,20.948766231536865,23.27634191513061,24.93042087554932,stabilityai/stable-diffusion-2
