compute_type,num_workers,batch_size,experiment_type,arrival_rate,num_requests,total_time,successful_requests,average_time_per_request,throughput,average_latency,min_latency,max_latency,latency_90,latency_95,latency_99,model_id,avg_queue_time
default,2,1,poisson,0.9,1,1.3963778018951416,1,1.3963778018951416,0.7161385684037772,1.113349676132202,1.113349676132202,1.113349676132202,1.113349676132202,1.113349676132202,1.113349676132202,stabilityai/sd-turbo,0.0497736930847168
default,1,1,poisson,0.0,4,4.883164167404175,4,1.2207910418510437,0.8191410042489615,0.6905947923660278,0.2417573928833007,1.3262615203857422,1.3262615203857422,1.3262615203857422,1.3262615203857422,stabilityai/sd-turbo,0.4534904360771179
default,1,1,poisson,0.0,4,4.883126497268677,4,1.2207816243171692,0.819147323387456,0.6872155070304871,0.2451410293579101,1.3192522525787354,1.3192522525787354,1.3192522525787354,1.3192522525787354,stabilityai/sd-turbo,0.4518119692802429
default,1,1,poisson,0.0,4,2.256600141525269,4,0.5641500353813171,1.7725781038444597,1.8053957223892207,1.4538278579711914,2.155115842819214,2.155115842819214,2.155115842819214,2.155115842819214,stabilityai/sd-turbo,1.5707795023918152
default,1,1,poisson,0.0,4,2.1501452922821045,4,0.5375363230705261,1.860339398624784,1.6488760113716123,1.126462697982788,2.052462100982666,2.052462100982666,2.052462100982666,2.052462100982666,stabilityai/sd-turbo,1.219283938407898
default,1,1,poisson,0.0,4,1.0600948333740234,4,0.2650237083435058,3.773247330400597,0.5980628728866577,0.2489733695983886,0.9471964836120604,0.9471964836120604,0.9471964836120604,0.9471964836120604,stabilityai/sd-turbo,0.3646197319030761
default,1,1,poisson,0.0,4,1.052342176437378,4,0.2630855441093445,3.8010450303737584,0.6028711199760437,0.2528069019317627,0.952561855316162,0.952561855316162,0.952561855316162,0.952561855316162,stabilityai/sd-turbo,0.3681334853172302
default,1,4,poisson,0.0,4,1.0042879581451416,4,0.2510719895362854,3.9829213997425152,0.6159245371818542,0.6153850555419922,0.6165220737457275,0.6165220737457275,0.6165220737457275,0.6165220737457275,stabilityai/sd-turbo,0.0207506418228149
default,1,4,poisson,0.0,4,1.1089930534362793,4,0.2772482633590698,3.6068756135178375,0.7014772295951843,0.700920820236206,0.7020857334136963,0.7020857334136963,0.7020857334136963,0.7020857334136963,stabilityai/sd-turbo,0.120825707912445
default,1,4,poisson,0.0,8,1.527055740356445,8,0.1908819675445556,5.238839545000918,0.8791457712650299,0.6190159320831299,1.139335870742798,1.139335870742798,1.139335870742798,1.139335870742798,stabilityai/sd-turbo,0.3285187482833862
default,2,4,poisson,0.0,8,3.5854878425598145,8,0.4481859803199768,2.2312166018358326,1.9005426168441768,0.6086695194244385,3.2630157470703125,3.2630157470703125,3.2630157470703125,3.2630157470703125,stabilityai/sd-turbo,1.1027384102344513
