compute_type,num_workers,batch_size,experiment_type,arrival_rate,num_requests,total_time,successful_requests,average_time_per_request,throughput,average_latency,min_latency,max_latency,latency_90,latency_95,latency_99,model_id,avg_queue_time,avg_execution_time
processes,1,1,constant,0,64,42.791626930236816,64,0.6686191707849503,1.4956196945804183,21.733827359974384,0.7443184852600098,42.66028094291687,38.66693711280823,40.66423392295837,42.66028094291687,stabilityai/sd-turbo,21.0675718896091,0.6662554703652859
processes,1,2,constant,0,64,25.749436616897583,64,0.4023349471390247,2.48549127315668,13.21211676672101,0.8607730865478516,25.550365924835205,23.162400484085083,24.75234150886536,25.550365924835205,stabilityai/sd-turbo,12.414149027317762,0.7979677394032478
processes,1,4,constant,0,64,22.06254005432129,64,0.3447271883487701,2.9008445918929726,11.537017222493889,1.3766329288482666,21.68433380126953,20.328324556350708,21.68176770210266,21.68433380126953,stabilityai/sd-turbo,10.18328346684575,1.353733755648136
processes,1,8,constant,0,64,20.791972160339355,64,0.3248745650053024,3.0781110856852663,11.244912292808294,2.532144069671631,19.960678815841675,19.956093788146973,19.958144664764404,19.960678815841675,stabilityai/sd-turbo,8.756436977535486,2.488475315272808
processes,1,16,constant,0,64,20.63170075416565,64,0.3223703242838382,3.102022502293131,11.960436005145311,4.839454650878906,19.08432149887085,19.080060958862305,19.08151125907898,19.08432149887085,stabilityai/sd-turbo,7.215008612722158,4.745427392423153
processes,1,1,constant,0,64,96.54022741317748,64,1.5084410533308985,0.6629360807913756,49.0581319257617,1.594670057296753,96.49749183654784,87.4782965183258,91.99268054962158,96.49749183654784,stabilityai/stable-diffusion-xl-base-1.0,47.55085292086005,1.5072790049016476
processes,1,2,constant,0,64,51.70701551437378,64,0.8079221174120903,1.237743067615437,26.777382895350456,1.8090722560882568,51.653730392456055,46.83703827857971,50.04469156265259,51.653730392456055,stabilityai/stable-diffusion-xl-base-1.0,25.16384299844504,1.6135398969054222
processes,1,4,constant,0,64,32.8944890499115,64,0.5139763914048672,1.9456146560869647,17.50828779116273,2.2132773399353027,32.82462692260742,30.77907943725586,32.82222414016724,32.82462692260742,stabilityai/stable-diffusion-xl-base-1.0,15.457942631095648,2.050345160067081
processes,1,8,constant,0,64,30.21935057640076,64,0.4721773527562618,2.117848291881548,17.003428526222706,3.90397572517395,30.120534896850582,30.11708354949951,30.118609189987183,30.120534896850582,stabilityai/stable-diffusion-xl-base-1.0,13.250710517168043,3.752718009054661
processes,1,16,constant,0,64,30.178603887557983,64,0.4715406857430935,2.120707778214548,18.789454881101847,7.5670006275177,30.016369342803955,30.01233291625977,30.01383757591248,30.016369342803955,stabilityai/stable-diffusion-xl-base-1.0,11.315427545458078,7.474027335643768
mps,2,1,constant,0,64,25.89911127090454,64,0.4046736136078834,2.471127264969072,13.048307605087755,0.7872109413146973,25.796103715896606,22.903432369232178,24.398229837417603,25.796103715896606,stabilityai/sd-turbo,12.265297845005987,0.783009760081768
mps,4,1,constant,0,64,23.596610069274902,64,0.3686970323324203,2.712253998015345,12.273902162909508,1.3724842071533203,23.47104573249817,21.5855929851532,22.71744728088379,23.47104573249817,stabilityai/sd-turbo,10.856824830174446,1.4170773327350616
